,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F68,F69,F70,F71,F72,F73,F74,F75,F98,F99,F118
USERID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,3,5,4,3,4,5,5,1,4,4,2,2,4,4,5,3,5,2,3,3,4,3,4,5,2,3,0,NULL,3,30,5,60,6,1,6,6
2,3,2,4,4,3,4,4,5,5,4,3,4,4,4,4,4,5,4,5,4,5,5,5,5,5,2,3,2,5,90,0,NULL,7,30,5,1,6,7
3,3,3,3,4,4,4,3,3,4,2,3,4,4,2,4,4,4,2,4,2,3,4,4,3,3,2,5,NULL,5,90,0,NULL,5,15,4,1,5,5
4,2,3,2,2,4,4,3,1,5,3,3,5,2,2,3,1,2,2,2,2,2,4,4,2,5,2,2,4,1,20,4,25,6,30,5,1,4,7
5,4,3,4,4,5,2,4,1,5,1,4,3,3,2,3,4,2,3,4,2,3,3,2,5,1,1,1,NULL,0,NULL,5,120,4,20,6,0,NULL,6
6,4,2,3,3,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,3,4,4,3,4,4,3,4,3,3,60,2,60,5,15,4,1,4,6
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,NULL,0,NULL,0,NULL,0,NULL,14,0,NULL,4
8,2,3,4,2,4,3,3,1,4,4,3,4,4,2,2,1,4,2,4,2,3,3,1,4,5,4,2,NULL,0,NULL,3,60,7,30,14,0,NULL,7
9,3,3,4,4,3,2,2,1,4,4,2,2,2,1,1,1,3,4,5,3,4,4,3,4,3,2,4,3,0,NULL,1,15,4,30,5,0,NULL,7
10,2,4,5,3,3,3,2,1,4,2,4,3,2,1,2,1,2,4,2,4,3,4,5,3,2,4,4,2,0,NULL,0,NULL,5,30,5,1,5,4
11,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,2,3,5,3,3,3,3,NULL,3,120,2,60,7,20,3,0,NULL,5
12,1,5,4,3,4,4,2,1,4,4,2,4,4,4,2,1,2,4,4,3,2,3,5,3,4,4,4,NULL,2,40,2,60,5,60,5,1,4,5
13,3,3,3,4,4,4,4,1,2,1,5,2,3,1,3,1,2,5,2,5,3,5,1,3,1,2,3,NULL,0,NULL,0,NULL,7,15,8,1,6,5
14,3,4,2,2,3,4,2,2,4,2,4,4,4,2,4,1,4,2,4,2,4,4,2,2,4,4,4,NULL,4,80,0,NULL,5,40,6,1,6,6
15,4,2,2,4,4,4,4,4,4,2,4,4,4,3,4,4,4,3,2,3,3,3,2,3,4,4,4,NULL,0,NULL,2,10,3,60,5,1,6,6
16,3,2,3,4,4,3,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,NULL,0,NULL,0,NULL,0,NULL,8,1,4,4
17,4,2,3,5,4,4,4,4,4,1,5,3,4,3,3,4,3,3,3,3,3,3,2,4,4,4,2,NULL,0,NULL,0,NULL,7,60,10,0,NULL,5
18,3,1,1,5,5,5,5,5,5,3,3,4,4,1,3,4,5,3,5,4,3,2,5,1,5,1,5,4,0,NULL,0,NULL,0,NULL,12,1,6,3
19,3,3,1,2,2,3,2,1,4,1,4,4,4,3,3,4,4,1,4,1,5,5,1,2,5,5,3,NULL,0,NULL,0,NULL,6,30,14,1,4,4
20,1,5,5,2,3,2,2,1,5,5,1,2,2,1,2,1,4,2,4,2,4,4,2,5,5,5,3,3,0,NULL,0,NULL,5,30,8,1,5,7
21,3,3,2,4,2,2,2,2,4,3,3,2,2,2,2,1,4,2,4,2,2,2,4,2,5,5,4,NULL,2,50,0,NULL,5,30,6,1,5,5
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,4,2,2,4,4,4,4,4,5,2,4,4,4,4,4,4,4,3,3,4,3,4,3,4,2,2,4,1,2,60,2,60,5,30,6,1,4,6
24,3,3,4,4,5,3,2,2,5,3,4,4,4,1,4,4,5,3,5,3,4,4,2,5,5,3,4,NULL,0,NULL,0,NULL,0,NULL,10,1,2,4
25,1,4,5,3,3,2,1,1,4,4,4,2,1,1,1,1,5,3,3,4,2,5,5,4,4,1,4,9,3,15,1,120,7,10,8,1,2,7
26,3,3,4,4,2,4,1,1,4,2,5,2,2,2,1,1,2,4,3,3,2,2,1,4,3,1,4,NULL,0,NULL,0,NULL,1,60,160,0,NULL,6
27,4,2,1,5,5,3,3,5,4,2,4,5,2,2,3,4,4,3,5,2,3,1,5,3,5,5,3,NULL,0,NULL,0,NULL,5,12.5,12,1,2,4
28,3,2,4,4,3,3,2,2,4,4,3,2,4,1,3,1,5,1,4,1,5,5,4,3,4,4,4,3,0,NULL,2,25,7,30,8,1,6,2
29,3,4,4,3,3,4,3,2,4,3,4,2,2,2,3,1,4,2,4,3,2,4,3,3,4,4,4,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,1
30,4,1,2,4,5,5,5,4,5,5,3,2,3,1,3,4,2,2,5,1,4,5,1,5,4,4,2,3,0,NULL,2,30,7,20,12,1,4,7
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,3,3,2,3,5,5,4,4,2,1,5,3,3,1,1,4,3,2,4,3,2,2,4,4,2,1,2,5,0,NULL,3,17.5,7,75,4,1,5,4
33,4,2,3,3,3,3,3,3,5,3,2,4,4,2,4,1,5,3,3,3,3,4,4,2,3,3,3,8,0,NULL,0,NULL,7,35,15,1,4,5
34,3,3,2,4,4,4,3,2,3,3,4,2,3,2,2,1,2,3,4,2,2,2,4,3,3,3,2,NULL,0,NULL,0,NULL,5,10,36,1,3,5
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,4,2,3,4,4,3,4,3,4,4,3,4,4,2,3,1,4,3,3,2,4,4,2,3,4,3,4,NULL,0,NULL,0,NULL,7,25,3,1,5,5
37,2,4,4,2,4,4,1,1,2,2,3,2,3,3,2,4,2,4,3,3,4,4,3,3,4,3,3,7,0,NULL,3,30,5,30,12,0,NULL,5
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,3,2,2,4,5,3,4,3,5,2,3,4,4,2,5,1,3,4,3,3,4,4,3,5,5,5,3,NULL,0,NULL,0,NULL,7,10,1,0,NULL,6
40,2,4,3,4,4,3,3,3,3,1,4,4,3,2,3,3,4,4,5,3,4,3,2,3,3,4,3,NULL,0,NULL,0,NULL,3,30,2,1,3,6
41,2,4,3,4,5,2,4,2,2,2,4,4,4,2,1,NULL,2,4,4,3,2,3,5,2,4,4,5,NULL,0,NULL,0,NULL,2,10,10,1,5,5
